dumbSQ,smartSQ,dumbLIB,smartLIB
21,18,22.3,18.78
22,16,21.7,17.77
23,18,22.3,18.97
23,17,19.13,19.13
24,16,21.12,18
27,19,20.17,18.08
29,20,21.43,19.25
26,17,20.85,19.83
24,16,19.7,18.57
27,16,20.57,18.15
21,20,21.73,18.2
27,16,22.77,19.6
23,19,20.45,18.33
22,17,21.65,18.78
27,17,20.2,18.58
21,19,20.63,18.55
25,17,21.83,17.87
22,17,21.65,18.08
26,17,22.02,18.2
25,17,21.8,18.13
24,20,21.38,17.5
21,19,19.85,18.38
23,17,20.32,18.23
27,18,20.97,19.68
26,19,21.5,18.98
23,18,21.68,19.38
27,16,21.22,17.5
24,17,19.53,18.65
21,16,20.48,18.28
25,19,23.55,18.18
28,17,21.12,18.7
25,18,20.43,17.83
23,17,22.6,19.53
24,17,20.53,19.43
23,20,20.92,19.65
24,16,19.03,19.75
20,16,19.58,18.4
22,18,21.83,20.7
24,21,20.95,18.57
23,21,22.48,18.23
27,16,21.53,18
23,19,19.65,19.75
23,17,20.22,18.18
22,19,22.18,17.73
23,18,22.07,18.73
22,18,20.72,17.5
23,20,20.5,18.3
29,17,20.52,17.9
23,19,22.47,19.08
24,17,22.15,17.5
27,16,20.95,17.78
22,17,20.58,18.65
25,18,20.83,19.47
21,19,19.73,18.22
26,17,21.22,19.98
22,18,20.97,19.85
22,16,19.93,19.78
24,17,21.3,17.63
23,18,20.33,20.48
25,17,21.28,18.3
20,17,23.65,17.5
25,17,20.43,19.85
25,16,20.12,18.78
23,17,22.63,18.98
27,16,18.53,19.5
25,17,19.15,18
27,17,20.77,19.12
29,20,21.73,18.55
24,16,20.43,19.12
26,17,20.62,18.42
26,18,19.23,18.73
21,16,20.57,17.5
23,17,21.18,20.6
22,18,20.32,18.83
22,17,19.37,17.55
24,18,20.8,18.85
24,17,20.82,18.48
25,16,21.75,18.13
23,16,21.22,17.57
23,16,20.83,18.68
29,17,22.02,18.9
26,17,20.58,19.05
27,17,18.63,18.42
28,17,19.73,20.1
27,17,22.48,17.5
24,16,21.22,17.5
23,17,20.27,17.63
27,16,21.02,18.3
25,18,20.57,17.93
26,19,21.85,19.47
24,17,21.38,19.5
24,17,20.25,20.35
24,16,22.52,17.92
25,17,20.53,18.75
24,18,21.1,18.52
24,17,19.82,18.85
26,17,21.25,19.38
22,17,22.35,20.07
22,19,22.27,17.77
23,20,22.53,18.55
26,18,20.62,17.72
26,17,20.4,18.73
29,16,22.23,18.25
25,19,19.95,18.53
26,19,21,19
23,17,20.85,18.62
26,18,22.53,18.33
23,19,22.82,17.88
20,17,20.53,18.57
24,17,22.2,17.92
24,18,21.88,19.83
24,16,22.43,18.78
26,17,20.75,18.08
23,17,20.2,18.67
22,17,22.45,18.93
21,18,20.52,19.15
21,16,20.62,17.63
26,18,21.47,17.85
23,18,21.62,18.82
22,19,21.63,20.02
23,16,20.23,17.6
21,18,21.23,18.45
21,18,21.88,19.28
23,16,19.38,19.45
20,18,21.8,18.93
24,17,20.67,18.2
23,18,21.05,18.13
26,17,20.45,18.78
26,16,19.63,18.42
24,17,19.78,17.7
25,16,20.65,17.78
26,20,20.4,18.38
24,18,22.67,20.28
25,18,20.13,19.07
21,19,20.65,20.2
22,17,20.92,17.5
24,17,20.1,20.05
23,17,21.25,20.18
23,17,20.52,19.78
28,18,19.92,18.97
25,19,21.52,17.5
23,16,20.13,18.07
23,16,19.73,17.85
25,19,20.32,19.87
23,18,20.12,20.27
25,17,20.45,18.33
23,18,22.43,19.77
24,19,20.27,18.8
25,19,22.7,18.65
21,17,21.05,20.2
25,21,23.5,18.02
24,20,21.2,18.37
24,17,20.18,17.78
24,17,20.35,18.87
26,17,18.53,19.12
24,18,19.88,18.63
26,16,22.22,17.5
22,17,21.22,18.22
23,18,21.07,17.5
24,18,19.95,18.03
20,21,20.95,18.12
22,18,20.6,18.17
24,18,21.08,18.52
24,16,20.12,20.47
26,17,20.67,17.77
26,19,19.2,18.73
25,17,20.42,17.6
27,17,22.43,18.82
23,17,22,17.5
22,16,21.38,18.27
22,17,19.2,18.15
24,21,23.08,17.8
25,18,21.38,18.25
27,18,23.13,18.32
25,17,22.98,18.88
24,16,21.92,18.17
24,17,21.63,20.12
22,18,20.4,19.62
28,17,21.67,18.17
25,17,20.82,18.07
24,17,20.1,18.53
24,16,19.8,18.32
23,16,20.93,19.23
26,18,22.4,18.53
27,20,21.35,18.83
25,19,22.38,18.85
28,19,21.05,18.2
23,17,21.82,18.38
25,17,19.75,19.45
23,17,21.3,18.62
24,19,22.55,18.92
22,17,22.05,18.72
20,17,19.52,18.32
24,19,22.6,20.22
24,17,22.27,18.73
25,16,20.6,20.15
28,17,21.28,17.68
24,16,23.02,18.45
28,16,19.82,18.43
22,18,20.92,18.82
24,16,20.42,19.08
26,17,21.8,19.05
24,18,21.92,18.28
23,17,21.33,18.68
26,20,20.87,18.72
28,17,21.78,18.5
22,20,21.77,19.13
20,17,21.92,18.77
23,18,21.7,18.4
24,17,22.33,19.27
22,19,23.02,20.17
24,18,20.22,17.98
23,18,20.08,17.68
24,19,19.82,19.32
24,18,22.23,18.22
24,16,20.93,19.82
25,19,22.13,17.5
23,19,20.87,17.92
21,16,19.57,18.73
25,16,18.78,18.3
28,17,20.3,18.62
27,17,20.55,17.87
22,17,22.03,18.03
21,18,20.35,19.3
26,19,19.67,18.17
20,18,20.97,17.53
25,16,21.38,18.78
25,17,19.85,18.8
23,19,20.52,17.58
24,20,19.88,18.45
25,19,21.22,17.93
26,17,20.73,18.03
25,17,20.93,20.08
25,19,20.98,18.82
25,19,21.47,20.13
22,19,22.52,19.1
22,19,19.55,18.98
22,16,21.7,18.73
25,16,19.75,18.78
22,16,21.52,17.88
22,17,21.23,19.63
28,17,21.6,19.42
25,20,20.57,18.18
25,16,23.43,18.38
26,18,23.53,18.57
20,17,21.73,17.82
23,17,23.37,17.75
26,18,21.92,17.5
24,18,20.93,19.58
27,16,18.77,17.72
23,18,20.7,19.03
26,16,19.52,17.78
23,16,20.78,18.58
24,17,22.88,18.42
27,17,19.8,18.02
23,18,20.4,19.35
24,16,21.17,18.58
24,16,22.3,18.83
21,20,19.47,19.57
23,17,20.25,17.98
23,19,20.48,18.02
24,16,20.38,18.28
25,16,21.08,18.75
23,17,21.25,19.7
24,17,22.65,19.78
27,17,21.47,18.45
23,19,20.88,17.52
23,20,19.88,20.97
25,22,21.08,18.37
24,19,20.3,18.23
24,17,21.62,18.45
23,17,20.4,17.5
25,17,20.55,17.85
22,18,22.53,18.33
26,16,21.13,18.58
29,18,20.12,19.52
24,17,20.57,18.95
22,19,20.67,19.67
24,16,20.15,18.12
23,16,19.6,18.92
25,18,19.93,19.68
22,17,20.2,18.12
28,17,18.8,19.03
24,19,22.68,20
25,17,20.8,17.97
26,18,20.3,17.5
22,18,21.55,18.13
24,17,21.57,19.07
21,17,21.43,19.48
28,17,21.67,17.95
23,18,22.87,18.53
24,16,19.22,19.25
24,17,21.53,19.43
27,16,19.03,20.05
26,17,20.47,18.35
27,16,22.3,19.42
25,17,20.78,17.63
27,17,21.32,20.17
24,19,19.5,18.3
22,17,21.7,17.5
25,16,21.6,19.62
26,17,20.43,18.63
24,17,21.52,18.07
22,18,21.22,18.03
25,19,19.98,18.78
24,16,22.28,17.5
26,17,21.17,18.13
23,17,21.35,18.05
27,17,21.1,18.52
27,18,21.32,20.07
25,21,23.02,20.58
26,19,21.7,17.67
25,18,20.95,18.27
25,16,21.65,19.17
25,18,20.2,18.43
26,17,22.42,17.5
25,16,19.38,18.3
28,17,22.03,17.88
23,17,21.27,18.9
24,16,20.18,20.02
23,19,22.1,19.9
26,16,22.77,19.22
24,20,20.5,18.12
23,17,20.22,18.73
25,18,22.07,17.5
23,17,22.35,17.5
22,16,20.9,18.05
26,17,21.67,18.28
24,19,20.6,17.5
23,17,20.9,19.33
25,19,20.83,18.25
22,19,22.32,18.33
24,17,20.92,17.5
26,18,20.47,18.87
25,18,22,18.42
25,18,21.58,17.98
23,17,19.8,18.67
23,16,21.5,19.92
26,19,20.78,18.2
27,16,21.63,20.02
26,19,21.3,18.1
23,16,20.8,18.18
25,16,20.43,17.73
20,17,21.53,18.6
22,17,24.88,19.35
24,17,20.73,17.5
22,16,21.03,18.17
26,18,22.02,19.05
25,19,20.93,18.42
27,16,21.28,19.7
28,21,20.12,18.1
23,18,20.97,17.5
22,17,19.53,17.5
22,20,19.93,18.75
24,17,19.58,19.1
22,18,21.18,18.1
26,17,19.63,17.97
25,17,22.67,17.5
27,18,20.73,18.97
27,18,19.57,19.68
23,17,21.63,18.85
23,18,20.4,18.2
21,17,21.63,19
26,18,19.22,18.43
25,17,21.7,17.5
25,17,20.05,19.73
28,20,21.92,18.65
26,17,20.8,18.43
26,17,20.78,18.22
21,17,20.27,17.8
22,16,21.57,19.23
21,17,19.5,18.17
24,16,20.57,18.2
24,17,21.08,18.78
25,18,20.95,18.38
21,20,22.87,17.5
24,17,20.62,17.62
22,16,22.5,18.2
24,18,22.48,18.58
23,19,21.78,18.2
21,18,21.93,21.17
24,19,21.45,17.5
22,17,21.27,18.22
29,17,21.07,17.6
25,18,20.48,18.8
22,16,20.22,18.23
23,21,20.48,19.03
25,17,22.43,19.22
21,17,20.85,20.15
25,16,19.52,18.37
24,17,22.05,18.62
24,17,22.68,18.85
22,18,22.15,19.5
23,19,21.05,19.72
26,17,19.65,19.53
24,19,19.8,18.75
24,18,19.75,17.52
24,17,22.42,20.12
26,20,19.4,18.08
25,17,21.72,18.65
23,18,19.98,19.65
25,17,20.52,19.13
25,17,22.83,19.18
21,19,20.8,18.72
23,17,21.35,19.15
23,19,19.87,19
24,17,22.97,20.07
21,19,19.92,19.33
23,20,21.88,19.82
25,17,19.53,18.13
25,19,19.22,17.52
21,19,21.85,18.25
24,16,21.63,20.03
24,17,19.03,17.9
20,18,22.5,17.93
23,17,22.55,17.98
21,17,20.33,20.95
26,19,21.5,18.62
25,18,22,19.77
26,17,19.07,18.13
26,16,22.57,18.05
20,19,21.27,18.67
28,17,21.27,17.6
23,20,19.93,17.5
25,18,20.8,18.1
21,16,19.55,19.28
27,16,20.85,18.38
22,16,22.12,17.5
24,17,19,19.42
20,17,23.13,19.15
22,19,20.18,18.78
22,17,19.95,18.03
25,17,21.27,18.78
26,20,22.35,18.68
25,17,21.97,19.2
25,18,20.85,19.23
28,17,20.35,18.48
22,16,23.58,18.35
26,16,23.13,17.95
24,17,19.42,18.78
28,19,20.83,18.02
24,19,20.18,18.53
26,18,19.92,19.12
23,19,20.53,18.05
23,17,20.08,17.88
25,16,21.95,19.75
22,19,20.67,20.58
24,17,20.85,19.5
23,16,21.33,17.5
27,19,22.98,18.97
25,17,21.33,19.65
25,17,20.47,18.03
27,17,24,19.07
23,16,23.72,18.72
23,20,19.9,18.23
22,20,20.68,19.23
21,18,22.6,19.58
24,19,20.33,17.92
21,16,21.78,20.12
27,17,22.78,17.82
24,18,21.13,18.63
21,16,21.37,19.68
25,16,20.95,18.08
22,16,20.7,19.08
21,19,20.62,18.4
21,18,21.78,18.15
24,17,21.35,18.6
25,18,21.97,18.93
25,16,22.42,19.3
24,18,20.63,18.92
27,18,22.13,18.38
22,18,18.97,18.62
21,18,21.27,18.47
21,20,20.43,18.5
23,17,20.13,17.58
26,17,22.4,19.82
24,17,22.18,18.77
25,16,20.28,17.85
27,22,21.85,18.2
24,17,20.23,18.4
23,17,22.2,17.85
24,17,21.15,18.35
21,17,21.83,19.63
26,16,20,17.95
22,18,20.02,18.08
27,17,20.47,18.92
23,18,21.95,18.62
25,17,18.97,19.47
25,16,21.42,17.97
25,17,22.38,18.32
24,17,21.2,19.07
24,20,21.3,18.67
25,19,21.4,19.13
25,17,21.8,18.47
24,17,20.48,19.32
23,17,21.55,18.45
25,17,21.72,19.42
25,17,20.57,17.72
24,16,19.32,18.43
20,18,20.23,19
25,17,22.18,19.3
25,16,20.53,18.43
25,17,21.62,18.4
27,17,19.33,18.23
25,19,19.03,18.7
23,18,21.38,18.62
23,17,23.18,18.72
26,19,22.4,19.28
23,17,20.6,18.43
21,17,19.62,18.63
25,16,20.33,19.35
24,17,20.77,18.22
25,17,19.5,17.68
22,18,21.97,21.33
23,17,21.48,18.42
24,17,19.9,18.88
23,17,21.57,18.33
23,17,20.63,18.27
27,17,19.15,19
24,19,20.88,18.4
25,19,21.78,17.5
25,19,21.43,18.43
21,18,19.62,18.62
20,18,22.22,18.33
22,17,19.95,19.52
25,16,21.27,17.7
23,18,19.83,18.32
22,20,20.92,18.88
24,17,21.68,18.5
23,18,21.03,17.93
26,20,18.82,19.8
22,19,22.83,19.43
25,19,21.47,18.23
25,17,22.6,18.53
24,19,19.03,17.5
26,19,20.97,18.97
22,16,21.88,19.3
24,19,21.37,17.65
21,20,22.65,19.23
25,18,21.07,20.07
23,17,20.38,20.77
21,18,19.87,18
26,18,22.45,17.5
25,16,21.12,18.57
25,18,22.32,17.95
26,17,20.68,18.25
23,18,21.08,18.97
23,19,20.8,18.33
21,18,20.28,17.5
25,19,18.62,18
26,18,20.02,18.78
19,22,23.55,19.8
25,17,18.93,18.53
23,18,19.37,18.4
25,18,19.05,19.22
24,20,21.42,17.93
23,18,22.45,19.12
21,16,20.3,17.75
25,16,21.23,17.88
26,18,22.32,18.33
21,17,21.13,19.03
22,17,20.43,18.35
26,17,20.78,18.37
21,19,22.72,18.93
23,17,20.48,19.17
24,17,21.77,18.3
26,17,20.37,17.85
24,18,19.63,19.68
23,17,20.02,18.2
26,16,19.85,17.6
23,16,19.7,18.13
22,17,22,18.58
23,19,21.8,20.33
26,17,21.57,18
27,16,21.63,18.95
24,20,22.47,18.22
24,17,19.83,17.53
24,18,22,18.33
22,17,20.58,18.1
23,21,20.75,18.33
24,17,22.43,17.68
23,17,21.67,18.47
26,21,20.05,18.25
23,18,20.52,19.32
24,16,22.75,18.72
25,17,22.75,19.93
25,20,19.82,17.5
24,18,19.78,19.42
22,18,20.65,19.78
25,16,19.4,18.93
24,17,22.17,18.87
21,17,22.45,18.13
26,19,21.13,17.5
26,16,22.22,18.03
26,16,20.4,17.9
30,16,20.5,20.5
26,17,20.95,18.2
25,17,21.43,19.43
23,16,21.25,18.03
26,21,20.88,18.23
27,17,21.1,18.03
24,17,21.13,17.5
23,17,22.77,20
28,17,22.83,18.83
22,17,21.7,18.67
21,16,23.75,19.5
25,19,22.1,19.77
25,17,19.33,18.92
27,16,20.98,17.85
25,17,23.52,18.93
22,18,18.98,17.5
21,17,19.8,18.13
21,17,21.08,18.87
25,18,21.22,18.4
24,16,21.1,17.88
24,17,20.63,19.17
23,19,22.55,17.72
22,17,21.17,19.77
25,17,21.32,18.98
25,18,19.98,18.88
24,19,20.75,17.65
25,16,21.85,18.57
23,17,21.63,17.95
23,17,20.05,18.05
22,17,22.48,18.93
24,18,20.28,18.27
22,18,20.97,18
24,18,19.92,18.48
24,17,21.2,17.77
25,20,20.03,18.52
25,18,19.55,19.08
24,17,20.58,18.68
26,18,21.67,19.05
24,16,21.6,19.18
25,18,19.22,18.55
23,18,19.58,18.55
22,17,22.05,19.8
24,17,18.92,19.55
26,20,21.32,19.7
24,17,21.2,17.58
26,18,19.97,19.13
22,17,21.58,17.5
22,19,21.78,20.53
24,17,22.58,18.53
23,16,20.65,18.98
23,17,21.93,18.95
22,17,21.93,18.07
22,18,19.87,18.13
28,18,21.53,18.38
27,17,20.73,20.42
25,16,20.97,19.28
29,16,19.9,18.65
22,17,21.78,19.3
23,18,22.12,19.23
24,17,20.2,18.47
19,19,22.28,18.63
24,17,20.65,18.57
27,16,21.2,17.95
26,18,21.07,18.42
27,17,21.83,17.5
25,20,22.37,19
24,17,22.02,19.13
21,16,21.73,21.33
23,16,21.8,18.35
28,17,21.5,17.85
26,19,21.93,19.63
26,18,20.48,20.17
22,17,22.77,20.07
26,20,23.7,18.43
24,20,20.37,19.77
25,20,21,18.82
25,17,20.43,19.13
21,17,20.22,19.62
22,17,20.2,18.27
24,16,22.12,20.08
22,17,19.27,17.9
25,16,21.52,17.82
29,17,21.72,18.25
22,17,19.67,18.78
21,17,21.47,19.7
26,17,20.02,18.65
25,18,21.93,18.63
28,16,21.35,20.52
22,18,22.4,18.35
25,17,21.42,20.22
25,18,19.67,18.23
28,19,21.73,17.5
25,21,20.42,18.88
22,19,21.57,18.88
23,19,21.07,19.5
22,19,21.33,19.2
24,17,20.23,17.5
24,18,21.17,18.08
24,18,19.97,18.03
25,16,22.03,19.53
21,17,19.88,18.2
26,17,21.72,19.45
25,19,20.47,19.37
20,17,20.37,20.25
26,17,21.75,18.67
24,18,21.13,20.95
21,19,20.07,17.63
25,17,19.9,18.55
24,16,20.13,19.7
23,16,21.1,18.03
24,19,20.58,19.58
24,17,21.65,19.18
22,16,19.6,18.1
23,17,20.48,17.77
24,17,21.45,20.7
20,16,20.65,17.92
28,20,20.67,18.92
23,16,22.17,20.42
27,18,22.58,17.88
22,17,20.32,18.6
20,16,22.5,19.03
25,17,20.1,18.5
25,17,19.83,19.13
29,16,20.6,17.57
26,18,19.68,18.62
22,16,19.82,19.93
20,18,21.87,20.3
20,16,21.28,19.32
27,17,19.75,18.28
24,18,22.05,18.17
27,19,21.22,18.98
23,17,23.2,18.5
25,16,20.12,18.6
26,21,21.28,17.53
26,17,21.88,18.87
24,18,22.78,18.57
24,19,22.4,19.3
24,16,20.93,19.07
25,17,23.02,17.5
22,20,19.92,18.18
23,18,20.75,18.05
22,17,22.95,19.17
21,19,22.27,18.57
22,17,21.13,19.13
25,18,19.88,17.75
27,16,20.55,19.38
22,17,20.87,19.17
24,16,22.33,18.25
26,18,20.65,19
23,16,20.57,19.47
26,17,20.68,19.53
24,18,20.5,19.05
23,17,22.07,20.37
25,19,21.45,18.27
24,19,21.77,18.25
25,17,19.93,17.75
23,19,22.65,18.77
22,19,20.15,17.5
26,18,20.07,18.9
27,18,21.87,19.05
23,18,20.58,18.6
21,16,21.38,18.78
24,17,20.97,19.47
23,16,20.87,17.85
25,18,20.68,19.03
24,18,20.38,19.8
25,18,22.37,18.08
26,19,22,18.03
24,17,21.5,19.78
22,19,20.87,19.1
28,18,20.13,18.02
24,18,22.73,18.37
24,20,21.07,18.25
25,19,21.18,18.1
22,19,21.52,18.47
24,19,20.62,18.93
23,20,20.7,18.13
24,17,19.2,19.7
25,20,21.48,20.05
27,20,22.8,17.97
21,19,21.33,19.3
25,17,22.4,18.07
24,18,20.27,17.5
25,20,20.95,17.7
26,17,20.77,17.5
27,18,19.97,17.5
25,19,20.43,17.5
22,16,21.2,18
25,17,21.77,19.82
24,18,20.23,18.92
22,18,23.43,19.67
22,16,20.55,17.67
24,18,21.67,19.1
25,16,21.88,17.5
24,18,18.97,18.12
25,17,20.08,19.12
24,19,21.58,18.68
23,19,21.8,17.72
25,16,20.78,17.97
24,18,21.37,18.25
19,16,22.7,17.75
23,16,19.87,19.07
21,17,20.8,18.57
26,18,21.4,20.07
23,18,21.22,18.62
25,18,20.12,19.45
22,18,19.27,17.5
23,18,20.08,19.73
23,20,20.95,17.8
23,17,21.83,18.9
20,16,20.12,18.2
26,17,21.78,19.58
27,19,23.23,19.82
25,18,22.58,19.9
20,17,22.13,17.98
23,17,21.4,18.02
21,17,21.17,18.93
24,16,22.98,18.42
25,18,19.72,17.5
21,17,21.05,18.13
22,17,21.48,17.97
24,18,22.13,18.4
21,17,22.35,18.5
25,17,21.27,20.45
23,16,21.3,18.33
23,17,21.55,19.28
24,18,20.57,20.27
28,20,21.5,17.97
23,18,19.78,18.22
23,17,21.62,17.57
27,16,20.45,18
18,17,19.18,17.97
22,17,22.72,18.62
25,18,19.02,18.48
22,18,21.75,17.62
24,18,20.62,19.78
26,17,20.68,17.52
21,20,18.93,18.3
21,20,19.87,18.58
24,17,20.38,19.55
25,20,21.75,18.55
23,17,21.62,18.15
24,22,20.43,19.48
24,19,20.4,18.55
24,20,21.2,18.37
27,18,21.02,17.98
23,17,21.52,17.77
23,16,21.07,18.78
23,18,22.93,18.32
27,18,19.47,18.7
30,16,20.8,18.9
25,17,19.47,17.5
25,17,20.27,18.95
22,16,20.37,18.65
22,16,21.35,18.17
22,18,20.6,17.83
24,18,20.82,20.38
24,18,19.85,18.5
24,18,21.35,19.68
22,19,22.13,18.98
24,16,21,19.52
24,17,20.65,18
26,16,21.9,21.17
25,18,22.58,20.1
25,18,20.27,19.97
22,20,20.83,19.37
24,17,21.52,17.98
25,17,21.72,18.13
25,18,21.03,19.72
26,17,20.37,17.5
24,17,19.65,18.57
24,18,21.75,20.35
25,17,22.18,17.88
23,18,20.88,18.83
24,18,22.67,18.77
26,16,21.93,19.27
22,18,21.48,19
24,18,20.85,17.8
22,17,21.08,19.05
23,17,20.48,18.42
25,18,20.97,19.33
24,18,21.68,18.8
22,19,20.52,19.32
23,16,21.17,18.82
26,18,20.75,18.13
25,17,21.05,18.28
26,19,21.9,17.5
27,17,20.68,18.5
22,19,19.48,18.48
23,17,20.72,18.17
29,20,23.67,19.02
24,18,18.87,18.58
30,18,19.6,18.52
24,17,22.37,19.45
27,17,23.32,18.23
22,17,19.4,18.02
22,21,21.7,17.95
26,19,20.58,18.95
22,18,22.12,18.82
22,17,19.63,19.03
24,17,20.47,18.35
18,16,20.07,18.8
28,17,20.2,17.78
23,18,21.1,19.22
22,19,21.83,18.52
25,17,21.53,18.42
21,17,21.45,18.88
23,20,19.52,19.23
26,17,20,18.65
23,16,22.05,18.05
27,16,19.23,18.67
27,18,20.83,19.38
25,19,22.22,20.52
20,20,22.55,20.25
22,19,19.17,18.77
24,20,20.98,17.78
25,18,20.52,18.95
22,17,21.55,19.08
25,16,21.27,18.03
23,17,21,18.3
23,17,21.93,17.5
24,19,21.88,18.98
26,17,21.03,17.72
23,18,19.2,19.25
25,17,19.63,18.08
23,17,19.62,17.8
28,18,21.22,18.77
22,18,21.25,18.08
24,18,22.1,18.95
25,19,21.28,19.72
24,17,20.08,18.15
28,17,19.75,18.57
25,17,22.85,18.67
21,18,21.72,18.63
26,17,21.93,19.53
23,17,19.32,19.45
25,17,21.37,18.03
22,19,21.25,18.5
22,17,22.27,18.03
22,17,19.98,18.33
24,18,20.45,19.98
26,16,19.65,19.13
23,20,19.42,19.45
22,18,22.4,20.28
27,16,20.48,19.08
21,17,20.62,18.67
21,17,22.33,19.47
25,17,21.2,18.58
24,19,23.48,17.83
22,17,20.18,17.95
25,17,20.9,18.68
27,17,21.77,19.27
24,18,23.03,18.07
28,17,20.92,21.62
24,19,22.47,17.6
27,16,21,18.83
23,17,21.33,19.38
25,17,19.62,18.52
26,17,20.32,18.3
26,17,20.95,17.53
24,18,22.2,18.47
26,19,21.5,18.03
27,16,21.52,18.28
22,18,20.87,18.07
25,17,21.53,19.38
23,17,22.05,18.25
25,16,20.23,19.28
25,18,21.98,18.22
23,16,18.13,19.7
23,18,20.4,18.4
23,16,21.62,18.18
27,18,21.27,18.25
24,20,22.8,17.62
26,17,19.53,19.47
21,16,22,18.3
23,18,20.78,17.85
27,18,21.28,17.5
23,20,21.38,20.32
22,17,21.2,19.2
24,17,21.03,19.92
25,18,21.93,18.7
23,18,22.68,19.82
24,17,22.57,19.93
27,18,21.03,17.73
23,18,20.08,18.6
23,17,21.03,18.42
24,16,19.55,18.23
22,16,19.1,18.1
24,17,19.88,17.72
